VP,Condition,Trial,CurrentTarget,Time,State,PlayerPositionX,PlayerPositionY,PlayerPositionZ, PlayerRotationX, PlayerRotationY, PlayerRotationZ, VRCameraPositionX, VRCameraPositionY, VRCameraPositionZ, VRCameraRotationX, VRCameraRotationY, VRCameraRotationZ,GazeObject
952,Normal,1,Right,20:34:30.422,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:30.435,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:30.443,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:30.457,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:30.466,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:30.480,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:30.487,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:30.503,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:30.511,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:30.528,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:30.535,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:30.550,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:30.559,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
952,Normal,1,Right,20:34:30.572,Searching,0,1.8,-7.12,0,0,0,None,None,None,None,None,None,Landmark_Triangle
